script_name,model_type,dataset_type,category,item,value
new-gtb,GradientTreeBoost,Full,Configuration,StartDate,2021-05-01
new-gtb,GradientTreeBoost,Full,Configuration,EndDate,2021-10-31
new-gtb,GradientTreeBoost,Full,Configuration,NumTrainingSamples,1000
new-gtb,GradientTreeBoost,Full,Configuration,PredictorBands,"canopy_height, dem, slope, aspect, ndvi, evi, savi, ndmi, B5, B8, B11, VH, VV"
new-gtb,GradientTreeBoost,Full,Configuration,ResponseBand,agbd
new-gtb,GradientTreeBoost,Full,Configuration,Calculated_Optical_Indices,"ndvi, evi, savi, ndmi"
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,S2_CollectionID,COPERNICUS/S2_SR_HARMONIZED
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,DEM_CollectionID,COPERNICUS/DEM/GLO30
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L4A_CollectionID,LARSE/GEDI/GEDI04_A_002_MONTHLY
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L2A_CollectionID,LARSE/GEDI/GEDI02_A_002_MONTHLY
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,WorldCover_CollectionID,ESA/WorldCover/v200
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,Geometry_AssetID,projects/ee-bonglantrungmuoi/assets/gia_lai
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,CloudMask_CS_Threshold_gte,0.5
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L4A_QualityFlag_eq,1
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L4A_DegradeFlag_eq,0
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L4A_RelativeSE_lte,0.3
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L2A_QualityFlag_eq,1
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_L2A_DegradeFlag_eq,0
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,GEDI_SlopeMask_lt,30
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,Model_NumTrees,100
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,Resample_GridScale,100
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,PredictedAGBD_AssetID,users/bonglantrungmuoi/new-gtb/new-gtb-predicted_agbd
new-gtb,GradientTreeBoost,Full,DataSource_Parameters,LandCoverMask_Classes,"10,20,30,40,95"
new-gtb,GradientTreeBoost,Full,Processing_Parameters,S2_NativeProj_CRS,EPSG:32648
new-gtb,GradientTreeBoost,Full,Processing_Parameters,S2_NativeProj_Scale,10.0
new-gtb,GradientTreeBoost,Full,Processing_Parameters,DEM_NativeProj_CRS,EPSG:4326
new-gtb,GradientTreeBoost,Full,Processing_Parameters,DEM_NativeProj_Scale,30.922080775909325
new-gtb,GradientTreeBoost,Full,Processing_Parameters,GEDI_L4A_NativeProj_CRS,EPSG:32648
new-gtb,GradientTreeBoost,Full,Processing_Parameters,GEDI_L4A_NativeProj_Scale,25.0
new-gtb,GradientTreeBoost,Full,Processing_Parameters,GEDI_L2A_NativeProj_CRS,EPSG:32648
new-gtb,GradientTreeBoost,Full,Processing_Parameters,GEDI_L2A_NativeProj_Scale,25.0
new-gtb,GradientTreeBoost,Full,Processing_Parameters,Resampling_GridProj_CRS,EPSG:3857
new-gtb,GradientTreeBoost,Full,Processing_Parameters,TrainingSample_TileScale,16
new-gtb,GradientTreeBoost,Full,Processing_Parameters,ReduceResolution_Reducer,ee.Reducer.mean()
new-gtb,GradientTreeBoost,Full,Processing_Parameters,ReduceResolution_MaxPixels,1024
new-gtb,GradientTreeBoost,Full,Processing_Parameters,AGB_ReduceRegion_Reducer,ee.Reducer.sum()
new-gtb,GradientTreeBoost,Full,Processing_Parameters,AGB_ReduceRegion_Scale,30
new-gtb,GradientTreeBoost,Full,Processing_Parameters,AGB_ReduceRegion_MaxPixels,10000000000
new-gtb,GradientTreeBoost,Full,Processing_Parameters,AGB_ReduceRegion_TileScale,16
