script_name,model_type,dataset_type,category,item,value
new-rf,RandomForest,Full,Configuration,StartDate,2021-05-01
new-rf,RandomForest,Full,Configuration,EndDate,2021-10-31
new-rf,RandomForest,Full,Configuration,NumTrainingSamples,1000
new-rf,RandomForest,Full,Configuration,PredictorBands,"canopy_height, dem, slope, aspect, ndvi, evi, savi, ndmi, B5, B8, B11, VH, VV"
new-rf,RandomForest,Full,Configuration,ResponseBand,agbd
new-rf,RandomForest,Full,Configuration,Calculated_Optical_Indices,"ndvi, evi, savi, ndmi"
new-rf,RandomForest,Full,DataSource_Parameters,S2_CollectionID,COPERNICUS/S2_SR_HARMONIZED
new-rf,RandomForest,Full,DataSource_Parameters,DEM_CollectionID,COPERNICUS/DEM/GLO30
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L4A_CollectionID,LARSE/GEDI/GEDI04_A_002_MONTHLY
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L2A_CollectionID,LARSE/GEDI/GEDI02_A_002_MONTHLY
new-rf,RandomForest,Full,DataSource_Parameters,WorldCover_CollectionID,ESA/WorldCover/v200
new-rf,RandomForest,Full,DataSource_Parameters,Geometry_AssetID,projects/ee-bonglantrungmuoi/assets/gia_lai
new-rf,RandomForest,Full,DataSource_Parameters,CloudMask_CS_Threshold_gte,0.5
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L4A_QualityFlag_eq,1
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L4A_DegradeFlag_eq,0
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L4A_RelativeSE_lte,0.3
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L2A_QualityFlag_eq,1
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_L2A_DegradeFlag_eq,0
new-rf,RandomForest,Full,DataSource_Parameters,GEDI_SlopeMask_lt,30
new-rf,RandomForest,Full,DataSource_Parameters,Model_NumTrees,100
new-rf,RandomForest,Full,DataSource_Parameters,Resample_GridScale,100
new-rf,RandomForest,Full,DataSource_Parameters,PredictedAGBD_AssetID,users/bonglantrungmuoi/new-rf/new-rf-predicted_agbd
new-rf,RandomForest,Full,DataSource_Parameters,LandCoverMask_Classes,"10,20,30,40,95"
new-rf,RandomForest,Full,Processing_Parameters,S2_NativeProj_CRS,EPSG:32648
new-rf,RandomForest,Full,Processing_Parameters,S2_NativeProj_Scale,10.0
new-rf,RandomForest,Full,Processing_Parameters,DEM_NativeProj_CRS,EPSG:4326
new-rf,RandomForest,Full,Processing_Parameters,DEM_NativeProj_Scale,30.922080775909325
new-rf,RandomForest,Full,Processing_Parameters,GEDI_L4A_NativeProj_CRS,EPSG:32648
new-rf,RandomForest,Full,Processing_Parameters,GEDI_L4A_NativeProj_Scale,25.0
new-rf,RandomForest,Full,Processing_Parameters,GEDI_L2A_NativeProj_CRS,EPSG:32648
new-rf,RandomForest,Full,Processing_Parameters,GEDI_L2A_NativeProj_Scale,25.0
new-rf,RandomForest,Full,Processing_Parameters,Resampling_GridProj_CRS,EPSG:3857
new-rf,RandomForest,Full,Processing_Parameters,TrainingSample_TileScale,16
new-rf,RandomForest,Full,Processing_Parameters,ReduceResolution_Reducer,ee.Reducer.mean()
new-rf,RandomForest,Full,Processing_Parameters,ReduceResolution_MaxPixels,1024
new-rf,RandomForest,Full,Processing_Parameters,AGB_ReduceRegion_Reducer,ee.Reducer.sum()
new-rf,RandomForest,Full,Processing_Parameters,AGB_ReduceRegion_Scale,30
new-rf,RandomForest,Full,Processing_Parameters,AGB_ReduceRegion_MaxPixels,10000000000
new-rf,RandomForest,Full,Processing_Parameters,AGB_ReduceRegion_TileScale,16
new-rf,RandomForest,Full,Processing_Parameters,WorldCover_Resample_Reducer,ee.Reducer.mode()
new-rf,RandomForest,Full,Processing_Parameters,WorldCover_Resample_MaxPixels,1024
new-rf,RandomForest,Full,Export_Parameters,Export_Asset_Scale_Intermediate,100
new-rf,RandomForest,Full,Export_Parameters,Export_Asset_Scale_PredictedAGBD,100
new-rf,RandomForest,Full,Export_Parameters,Export_Asset_MaxPixels,10000000000
new-rf,RandomForest,Full,PerformanceMetric,RMSE,26.01783898985733
new-rf,RandomForest,Full,PerformanceMetric,R2,0.913896201649889
new-rf,RandomForest,Full,PerformanceMetric,TotalAGB_Mg,1043933.56846568
new-rf,RandomForest,Full,FeatureImportance_Normalized,canopy_height,0.19840802976907596
new-rf,RandomForest,Full,FeatureImportance_Normalized,dem,0.09613254691052996
new-rf,RandomForest,Full,FeatureImportance_Normalized,B11,0.08920186806047802
new-rf,RandomForest,Full,FeatureImportance_Normalized,ndmi,0.08834925791718526
new-rf,RandomForest,Full,FeatureImportance_Normalized,B5,0.08266227452190118
new-rf,RandomForest,Full,FeatureImportance_Normalized,ndvi,0.06560644175836022
new-rf,RandomForest,Full,FeatureImportance_Normalized,VV,0.0651093225550602
new-rf,RandomForest,Full,FeatureImportance_Normalized,slope,0.062000097597807224
new-rf,RandomForest,Full,FeatureImportance_Normalized,VH,0.05580786493279707
new-rf,RandomForest,Full,FeatureImportance_Normalized,evi,0.05453807817915162
new-rf,RandomForest,Full,FeatureImportance_Normalized,aspect,0.04830796348003285
new-rf,RandomForest,Full,FeatureImportance_Normalized,savi,0.048119333145987694
new-rf,RandomForest,Full,FeatureImportance_Normalized,B8,0.04575692117163271
